token,freq,n_folios,length,first_char,last_char,in_label_pct,in_paragraph_pct,A_pct,B_pct,dominant_section,dominant_section_pct,is_hapax,specificity,cluster,top_anchors,category
@152;am,25,20,7,@,m,0.04,0.92,0.36,0.5914826498422713,herbal,0.48,False,0.48,10,"n_rows(npmi=+0.33, n=3) | n_plant_fragments(npmi=+0.26, n=4) | n_containers(npmi=+0.22, n=3)",[body] herbal/recipes | has_central_object+spiral_turns
@152;ain,25,22,8,@,n,0.0,0.96,0.36,0.5914826498422713,herbal,0.32,False,0.32,10,"n_plant_fragments(npmi=+0.23, n=4) | n_pools(npmi=+0.22, n=4) | has_spiral(npmi=+0.43, n=1)",[body] herbal/recipes | has_central_object+spiral_turns
dchor,25,21,5,d,r,0.0,0.96,0.92,0.038580246913580245,herbal,0.92,False,0.92,17,"n_distinct_objects(npmi=+0.06, n=21) | n_flowers_visible(npmi=+0.18, n=1) | branching_depth(npmi=+0.18, n=1)",[body] herbal | has_central_object+spiral_turns
kchy,25,21,4,k,y,0.0,0.96,0.88,0.11591962905718702,herbal,0.92,False,0.92,17,"has_marginal_annotation(npmi=+0.24, n=1) | n_visual_text_columns(npmi=+0.11, n=1) | n_distinct_objects(npmi=+0.02, n=19)",[body] herbal | has_central_object+spiral_turns
odar,25,22,4,o,r,0.0,0.84,0.28,0.6724683544303797,recipes,0.36,False,0.36,9,"n_decorative_motifs(npmi=+0.34, n=8) | n_stars(npmi=+0.29, n=8) | n_paragraphs(npmi=+0.30, n=7)",[body] recipes/zodiac | has_T_O_diagram+spiral_turns
kor,24,20,3,k,r,0.0,1.0,0.7083333333333334,0.28330522765598654,herbal,0.5833333333333334,False,0.5833333333333334,4,"n_visual_text_columns(npmi=+0.28, n=2) | has_star_motif(npmi=+0.32, n=1) | n_plant_fragments(npmi=+0.17, n=3)",[body] herbal | has_moon_face+has_star_motif
shear,24,19,5,s,r,0.0,0.9583333333333334,0.20833333333333334,0.7435456110154905,recipes,0.4583333333333333,False,0.4583333333333333,21,"n_decorative_motifs(npmi=+0.44, n=9) | n_paragraphs(npmi=+0.40, n=8) | n_stars(npmi=+0.34, n=8)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
daiir,24,22,5,d,r,0.0,0.6666666666666666,0.375,0.3282051282051282,herbal,0.4166666666666667,False,0.4166666666666667,29,"has_radial_symmetry(npmi=+0.29, n=7) | has_circular_structure(npmi=+0.27, n=7) | n_concentric_rings(npmi=+0.27, n=6)",[body] herbal/recipes | has_central_object+has_T_O_diagram
qotor,24,20,5,q,r,0.0,0.9166666666666666,0.6666666666666666,0.3243243243243243,herbal,0.7083333333333334,False,0.7083333333333334,13,"n_paragraphs(npmi=+0.15, n=4) | n_decorative_motifs(npmi=+0.14, n=4) | n_stars(npmi=+0.09, n=4)",[body] herbal | has_moon_face+n_petals
qokam,24,21,5,q,m,0.0,1.0,0.125,0.8704663212435233,recipes,0.4583333333333333,False,0.4583333333333333,16,"n_paragraphs(npmi=+0.42, n=9) | n_decorative_motifs(npmi=+0.41, n=9) | n_stars(npmi=+0.35, n=9)",[body] biological/recipes | has_T_O_diagram+spiral_turns
olor,24,17,4,o,r,0.041666666666666664,0.9583333333333334,0.125,0.8290155440414507,biological,0.5416666666666666,False,0.5416666666666666,22,"n_pools(npmi=+0.43, n=6) | n_nymphs(npmi=+0.40, n=6) | has_water(npmi=+0.38, n=6)",[body] recipes/biological | has_central_star+has_T_O_diagram
ycheey,24,21,6,y,y,0.0,1.0,0.25,0.7422680412371134,recipes,0.5833333333333334,False,0.5833333333333334,21,"n_decorative_motifs(npmi=+0.55, n=12) | n_paragraphs(npmi=+0.51, n=11) | n_stars(npmi=+0.44, n=11)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
okeody,24,22,6,o,y,0.16666666666666666,0.7083333333333334,0.25,0.41237113402061853,herbal,0.25,False,0.25,3,"has_circular_structure(npmi=+0.27, n=7) | n_labels(npmi=+0.23, n=9) | has_radial_symmetry(npmi=+0.24, n=6)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
olchey,24,20,6,o,y,0.0,0.9583333333333334,0.16666666666666666,0.8275862068965517,biological,0.5416666666666666,False,0.5416666666666666,1,"n_nymphs(npmi=+0.52, n=9) | has_water(npmi=+0.50, n=9) | n_pools(npmi=+0.50, n=8)",[body] recipes/biological | has_central_star+n_paragraphs
sheckhy,24,15,7,s,y,0.0,1.0,0.0,1.0,biological,0.5416666666666666,False,0.5416666666666666,24,"n_nymphs(npmi=+0.55, n=8) | has_water(npmi=+0.54, n=8) | n_pipes(npmi=+0.49, n=6)",[body] biological/recipes | n_nymphs+has_water
qopchedy,24,18,8,q,y,0.0,1.0,0.0,1.0,recipes,0.6666666666666666,False,0.6666666666666666,7,"n_paragraphs(npmi=+0.57, n=11) | n_decorative_motifs(npmi=+0.55, n=11) | n_stars(npmi=+0.49, n=11)",[body] recipes/biological | n_nymphs+n_pools
okam,23,22,4,o,m,0.043478260869565216,0.9130434782608695,0.17391304347826086,0.7335834896810506,herbal,0.4782608695652174,False,0.4782608695652174,21,"n_paragraphs(npmi=+0.30, n=7) | n_decorative_motifs(npmi=+0.29, n=7) | n_stars(npmi=+0.24, n=7)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
ykeedy,23,22,6,y,y,0.0,0.9130434782608695,0.0,1.0,biological,0.391304347826087,False,0.391304347826087,24,"n_nymphs(npmi=+0.44, n=8) | has_water(npmi=+0.42, n=8) | n_pipes(npmi=+0.45, n=7)",[body] biological/recipes | n_nymphs+has_water
yty,23,20,3,y,y,0.043478260869565216,0.8695652173913043,0.5217391304347826,0.2975970425138632,herbal,0.6956521739130435,False,0.6956521739130435,17,"n_rays(npmi=+0.32, n=1) | has_radial_symmetry(npmi=+0.14, n=4) | has_circular_structure(npmi=+0.12, n=4)",[body] herbal | has_central_object+spiral_turns
kal,23,19,3,k,l,0.0,0.9565217391304348,0.08695652173913043,0.8662900188323918,recipes,0.43478260869565216,False,0.43478260869565216,19,"n_paragraphs(npmi=+0.35, n=7) | n_decorative_motifs(npmi=+0.33, n=7) | n_stars(npmi=+0.28, n=7)",[body] recipes/biological | has_moon_face+has_central_object
kchol,23,20,5,k,l,0.0,1.0,0.8695652173913043,0.12568306010928962,herbal,0.8260869565217391,False,0.8260869565217391,4,"has_star_motif(npmi=+0.32, n=1) | n_distinct_objects(npmi=+0.02, n=18)",[body] herbal | has_moon_face+has_star_motif
chety,23,23,5,c,y,0.0,0.9130434782608695,0.30434782608695654,0.6007462686567164,herbal,0.5217391304347826,False,0.5217391304347826,10,"n_petals(npmi=+0.42, n=1) | has_star_motif(npmi=+0.29, n=1) | n_stars(npmi=+0.12, n=5)",[body] herbal/recipes | has_central_object+spiral_turns
dshedy,23,19,6,d,y,0.0,0.9565217391304348,0.0,0.9565217391304348,biological,0.5217391304347826,False,0.5217391304347826,7,"n_pools(npmi=+0.57, n=9) | n_nymphs(npmi=+0.54, n=9) | has_water(npmi=+0.52, n=9)",[body] recipes/biological | n_nymphs+n_pools
kedy,23,16,4,k,y,0.0,1.0,0.0,1.0,biological,0.391304347826087,False,0.391304347826087,16,"n_pools(npmi=+0.37, n=5) | n_nymphs(npmi=+0.34, n=5) | has_water(npmi=+0.33, n=5)",[body] biological/recipes | has_T_O_diagram+spiral_turns
qokeody,23,17,7,q,y,0.0,0.9130434782608695,0.5652173913043478,0.38191881918819187,pharmaceutical,0.5652173913043478,False,0.5652173913043478,15,"n_containers(npmi=+0.69, n=9) | has_container(npmi=+0.64, n=9) | n_plant_fragments(npmi=+0.62, n=9)",[body] herbal/biological | has_central_object+has_T_O_diagram
otee@152;y,23,20,10,o,y,0.0,0.782608695652174,0.0,0.8695652173913043,recipes,0.5652173913043478,False,0.5652173913043478,7,"n_paragraphs(npmi=+0.48, n=10) | n_decorative_motifs(npmi=+0.47, n=10) | n_stars(npmi=+0.41, n=10)",[body] recipes/biological | n_nymphs+n_pools
qotey,23,19,5,q,y,0.0,1.0,0.13043478260869565,0.8646616541353384,recipes,0.5217391304347826,False,0.5217391304347826,7,"n_paragraphs(npmi=+0.45, n=9) | n_decorative_motifs(npmi=+0.44, n=9) | n_stars(npmi=+0.38, n=9)",[body] recipes/biological | n_nymphs+n_pools
chedaiin,23,16,8,c,n,0.0,0.8260869565217391,0.0,0.8695652173913043,recipes,0.7391304347826086,False,0.7391304347826086,21,"n_paragraphs(npmi=+0.56, n=10) | n_decorative_motifs(npmi=+0.54, n=10) | n_stars(npmi=+0.49, n=10)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
tal,22,14,3,t,l,0.0,0.8181818181818182,0.18181818181818182,0.6311475409836065,biological,0.45454545454545453,False,0.45454545454545453,19,"n_nymphs(npmi=+0.51, n=7) | has_water(npmi=+0.50, n=7) | has_human_figure(npmi=+0.43, n=8)",[body] recipes/biological | has_moon_face+has_central_object
oteos,22,17,5,o,s,0.09090909090909091,0.2727272727272727,0.22727272727272727,0.08997955010224949,zodiac,0.5,False,0.5,8,"n_human_figures(npmi=+0.65, n=8) | n_concentric_rings(npmi=+0.56, n=10) | n_labels(npmi=+0.48, n=13)",[body] herbal/recipes | spiral_turns+has_spiral
okaly,22,18,5,o,y,0.18181818181818182,0.6363636363636364,0.13636363636363635,0.5872689938398358,recipes,0.3181818181818182,False,0.3181818181818182,21,"has_human_figure(npmi=+0.35, n=8) | n_paragraphs(npmi=+0.30, n=6) | n_decorative_motifs(npmi=+0.29, n=6)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
olchedy,22,17,7,o,y,0.0,0.9545454545454546,0.045454545454545456,0.9525773195876288,biological,0.6818181818181818,False,0.6818181818181818,24,"n_nymphs(npmi=+0.68, n=11) | has_water(npmi=+0.66, n=11) | n_pools(npmi=+0.61, n=9)",[body] biological/recipes | n_nymphs+has_water
qoaiin,22,20,6,q,n,0.0,0.9545454545454546,0.45454545454545453,0.5344129554655871,recipes,0.4090909090909091,False,0.4090909090909091,2,"n_paragraphs(npmi=+0.38, n=8) | n_decorative_motifs(npmi=+0.37, n=8) | n_stars(npmi=+0.32, n=8)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
teey,22,16,4,t,y,0.0,0.8181818181818182,0.13636363636363635,0.677618069815195,recipes,0.4090909090909091,False,0.4090909090909091,0,"has_human_figure(npmi=+0.33, n=7) | n_human_figures(npmi=+0.38, n=4) | n_paragraphs(npmi=+0.27, n=5)",[body] recipes/pharmaceutical | has_moon_face+n_paragraphs
chockhy,22,22,7,c,y,0.045454545454545456,0.8636363636363636,0.5454545454545454,0.31048387096774194,herbal,0.3181818181818182,False,0.3181818181818182,29,"n_paragraphs(npmi=+0.30, n=7) | n_decorative_motifs(npmi=+0.29, n=7) | n_plant_fragments(npmi=+0.31, n=5)",[body] herbal/recipes | has_central_object+has_T_O_diagram
dchol,22,22,5,d,l,0.045454545454545456,0.8636363636363636,0.7272727272727273,0.17600000000000002,herbal,0.6818181818181818,False,0.6818181818181818,13,"n_rays(npmi=+0.30, n=1) | n_flowers_visible(npmi=+0.17, n=1) | branching_depth(npmi=+0.17, n=1)",[body] herbal | has_moon_face+n_petals
qor,22,18,3,q,r,0.0,0.9090909090909091,0.3181818181818182,0.6720977596741344,biological,0.3181818181818182,False,0.3181818181818182,1,"n_nymphs(npmi=+0.31, n=5) | has_water(npmi=+0.30, n=5) | n_pipes(npmi=+0.30, n=4)",[body] recipes/biological | has_central_star+n_paragraphs
otaly,22,18,5,o,y,0.36363636363636365,0.45454545454545453,0.2727272727272727,0.35918367346938773,recipes,0.3181818181818182,False,0.3181818181818182,21,"has_human_figure(npmi=+0.45, n=10) | n_human_figures(npmi=+0.51, n=6) | has_circular_structure(npmi=+0.33, n=7)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
qotee@152;y,21,16,11,q,y,0.0,0.9523809523809523,0.0,1.0,recipes,0.5238095238095238,False,0.5238095238095238,7,"n_nymphs(npmi=+0.53, n=8) | has_water(npmi=+0.52, n=8) | n_pools(npmi=+0.51, n=7)",[body] recipes/biological | n_nymphs+n_pools
qokair,21,12,6,q,r,0.0,1.0,0.3333333333333333,0.65625,recipes,0.8571428571428571,False,0.8571428571428571,10,"n_paragraphs(npmi=+0.59, n=9) | n_decorative_motifs(npmi=+0.58, n=9) | n_stars(npmi=+0.53, n=9)",[body] herbal/recipes | has_central_object+spiral_turns
chedar,21,15,6,c,r,0.0,0.9047619047619048,0.0,0.9047619047619048,recipes,0.7142857142857143,False,0.7142857142857143,1,"n_paragraphs(npmi=+0.52, n=9) | n_decorative_motifs(npmi=+0.51, n=9) | n_stars(npmi=+0.46, n=9)",[body] recipes/biological | has_central_star+n_paragraphs
sh,21,19,2,s,h,0.0,0.6666666666666666,0.38095238095238093,0.3741648106904232,herbal,0.38095238095238093,False,0.38095238095238093,8,"has_marginal_annotation(npmi=+0.44, n=2) | has_spiral(npmi=+0.46, n=1) | spiral_turns(npmi=+0.46, n=1)",[body] herbal/recipes | spiral_turns+has_spiral
tedy,21,18,4,t,y,0.0,0.9523809523809523,0.0,1.0,biological,0.6190476190476191,False,0.6190476190476191,7,"n_pools(npmi=+0.69, n=11) | n_nymphs(npmi=+0.66, n=11) | has_water(npmi=+0.64, n=11)",[body] recipes/biological | n_nymphs+n_pools
tchey,21,19,5,t,y,0.0,0.9047619047619048,0.42857142857142855,0.56,herbal,0.42857142857142855,False,0.42857142857142855,15,"has_star_motif(npmi=+0.33, n=1) | n_decorative_motifs(npmi=+0.15, n=4) | has_marginal_annotation(npmi=+0.25, n=1)",[body] herbal/biological | has_central_object+has_T_O_diagram
keol,20,18,4,k,l,0.0,0.9,0.5,0.3902439024390244,herbal,0.45,False,0.45,18,"n_stars(npmi=+0.30, n=7) | n_flowers_visible(npmi=+0.39, n=2) | n_paragraphs(npmi=+0.24, n=5)",[body] pharmaceutical/herbal | n_petals+has_moon_face
daiiin,20,20,6,d,n,0.0,0.85,0.6,0.3398058252427184,herbal,0.6,False,0.6,15,"has_T_O_diagram(npmi=+0.45, n=1) | n_visual_text_columns(npmi=+0.28, n=2) | has_star_motif(npmi=+0.32, n=1)",[body] herbal/biological | has_central_object+has_T_O_diagram
shodaiin,20,18,8,s,n,0.0,0.9,0.65,0.2905569007263923,herbal,0.65,False,0.65,2,"branching_depth(npmi=+0.39, n=2) | n_leaves_visible(npmi=+0.34, n=2) | n_visual_text_columns(npmi=+0.30, n=2)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
tchy,20,18,4,t,y,0.0,0.95,0.8,0.14423076923076922,herbal,0.75,False,0.75,4,"has_container(npmi=+0.11, n=2) | n_distinct_objects(npmi=+0.01, n=16) | n_human_figures(npmi=+0.01, n=1)",[body] herbal | has_moon_face+has_star_motif
oldy,20,14,4,o,y,0.05,0.75,0.35,0.5896805896805897,biological,0.5,False,0.5,19,"n_nymphs(npmi=+0.45, n=6) | has_water(npmi=+0.43, n=6) | has_human_figure(npmi=+0.31, n=6)",[body] recipes/biological | has_moon_face+has_central_object
kchor,20,20,5,k,r,0.0,0.95,0.95,0.0477326968973747,herbal,0.95,False,0.95,17,"n_flowers_visible(npmi=+0.19, n=1) | n_distinct_objects(npmi=+0.04, n=19) | n_leaves_visible(npmi=+0.15, n=1)",[body] herbal | has_central_object+spiral_turns
kee@152;y,20,16,9,k,y,0.0,1.0,0.0,1.0,recipes,0.5,False,0.5,16,"n_pools(npmi=+0.44, n=6) | n_paragraphs(npmi=+0.40, n=7) | n_decorative_motifs(npmi=+0.38, n=7)",[body] biological/recipes | has_T_O_diagram+spiral_turns
otchedy,20,16,7,o,y,0.0,0.85,0.0,1.0,recipes,0.6,False,0.6,19,"n_paragraphs(npmi=+0.45, n=8) | n_decorative_motifs(npmi=+0.44, n=8) | n_stars(npmi=+0.39, n=8)",[body] recipes/biological | has_moon_face+has_central_object
okair,20,17,5,o,r,0.05,0.9,0.1,0.7960199004975124,recipes,0.5,False,0.5,21,"n_paragraphs(npmi=+0.38, n=7) | n_decorative_motifs(npmi=+0.37, n=7) | n_stars(npmi=+0.32, n=7)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
yteedy,20,16,6,y,y,0.05,0.9,0.0,0.95,recipes,0.5,False,0.5,19,"n_paragraphs(npmi=+0.45, n=8) | n_decorative_motifs(npmi=+0.44, n=8) | n_stars(npmi=+0.39, n=8)",[body] recipes/biological | has_moon_face+has_central_object
qotchdy,20,17,7,q,y,0.0,0.85,0.0,1.0,recipes,0.5,False,0.5,19,"n_paragraphs(npmi=+0.43, n=8) | n_decorative_motifs(npmi=+0.42, n=8) | n_stars(npmi=+0.37, n=8)",[body] recipes/biological | has_moon_face+has_central_object
qokeor,20,16,6,q,r,0.0,1.0,0.55,0.437956204379562,pharmaceutical,0.4,False,0.4,18,"n_plant_fragments(npmi=+0.39, n=5) | n_containers(npmi=+0.36, n=4) | has_container(npmi=+0.33, n=4)",[body] pharmaceutical/herbal | n_petals+has_moon_face
oaiin,19,16,5,o,n,0.0,0.8421052631578947,0.5789473684210527,0.3575268817204301,herbal,0.5789473684210527,False,0.5789473684210527,4,"n_paragraphs(npmi=+0.20, n=4) | n_decorative_motifs(npmi=+0.19, n=4) | has_star_motif(npmi=+0.36, n=1)",[body] herbal | has_moon_face+has_star_motif
chain,19,17,5,c,n,0.0,0.9473684210526315,0.5789473684210527,0.40860215053763443,herbal,0.5789473684210527,False,0.5789473684210527,2,"n_paragraphs(npmi=+0.32, n=6) | n_decorative_motifs(npmi=+0.31, n=6) | n_stars(npmi=+0.26, n=6)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
ckhol,19,15,5,c,l,0.0,1.0,0.9473684210526315,0.05013192612137204,herbal,0.7894736842105263,False,0.7894736842105263,4,"n_rows(npmi=+0.28, n=2) | n_containers(npmi=+0.18, n=2) | n_flowers_visible(npmi=+0.24, n=1)",[body] herbal | has_moon_face+has_star_motif
tchor,19,17,5,t,r,0.0,0.8947368421052632,0.7368421052631579,0.20266666666666666,herbal,0.7894736842105263,False,0.7894736842105263,4,"n_flowers_visible(npmi=+0.22, n=1) | branching_depth(npmi=+0.22, n=1) | n_leaves_visible(npmi=+0.18, n=1)",[body] herbal | has_moon_face+has_star_motif
ykchy,19,16,5,y,y,0.05263157894736842,0.8947368421052632,0.7368421052631579,0.152,herbal,0.7894736842105263,False,0.7894736842105263,13,"has_star_motif(npmi=+0.36, n=1) | n_flowers_visible(npmi=+0.23, n=1) | branching_depth(npmi=+0.23, n=1)",[body] herbal | has_moon_face+n_petals
shaiin,19,17,6,s,n,0.0,1.0,0.6842105263157895,0.3048128342245989,herbal,0.631578947368421,False,0.631578947368421,4,"n_decorative_motifs(npmi=+0.31, n=6) | n_paragraphs(npmi=+0.26, n=5) | n_stars(npmi=+0.20, n=5)",[body] herbal | has_moon_face+has_star_motif
kchey,19,19,5,k,y,0.05263157894736842,0.9473684210526315,0.5789473684210527,0.3575268817204301,herbal,0.631578947368421,False,0.631578947368421,2,"n_nymphs(npmi=+0.15, n=3) | has_water(npmi=+0.13, n=3) | n_paragraphs(npmi=+0.08, n=3)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
olol,19,17,4,o,l,0.0,0.8421052631578947,0.3157894736842105,0.569482288828338,biological,0.5263157894736842,False,0.5263157894736842,3,"n_nymphs(npmi=+0.52, n=8) | has_water(npmi=+0.50, n=8) | n_pipes(npmi=+0.53, n=7)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
qokeeo,19,13,6,q,o,0.0,1.0,0.21052631578947367,0.7808219178082192,recipes,0.6842105263157895,False,0.6842105263157895,0,"n_paragraphs(npmi=+0.51, n=8) | n_decorative_motifs(npmi=+0.50, n=8) | n_stars(npmi=+0.45, n=8)",[body] recipes/pharmaceutical | has_moon_face+n_paragraphs
lo,19,14,2,l,o,0.0,1.0,0.05263157894736842,0.9447513812154695,recipes,0.42105263157894735,False,0.42105263157894735,1,"n_paragraphs(npmi=+0.43, n=7) | n_decorative_motifs(npmi=+0.42, n=7) | n_stars(npmi=+0.37, n=7)",[body] recipes/biological | has_central_star+n_paragraphs
lky,19,13,3,l,y,0.0,1.0,0.0,1.0,recipes,0.7894736842105263,False,0.7894736842105263,21,"n_paragraphs(npmi=+0.62, n=10) | n_decorative_motifs(npmi=+0.61, n=10) | n_stars(npmi=+0.55, n=10)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
aral,19,18,4,a,l,0.0,0.7894736842105263,0.2631578947368421,0.5191256830601093,recipes,0.5263157894736842,False,0.5263157894736842,9,"n_paragraphs(npmi=+0.47, n=9) | n_decorative_motifs(npmi=+0.46, n=9) | n_stars(npmi=+0.40, n=9)",[body] recipes/zodiac | has_T_O_diagram+spiral_turns
shecthy,19,11,7,s,y,0.0,0.9473684210526315,0.05263157894736842,0.8922651933701656,biological,0.5263157894736842,False,0.5263157894736842,5,"n_nymphs(npmi=+0.36, n=4) | has_human_figure(npmi=+0.31, n=5) | has_water(npmi=+0.35, n=4)",[body] biological/recipes | n_nymphs+n_pools
chedal,19,14,6,c,l,0.0,0.8947368421052632,0.0,0.8947368421052632,recipes,0.7894736842105263,False,0.7894736842105263,21,"n_paragraphs(npmi=+0.60, n=10) | n_decorative_motifs(npmi=+0.59, n=10) | n_stars(npmi=+0.53, n=10)",[body] recipes/herbal | has_T_O_diagram+has_moon_face
ldy,19,17,3,l,y,0.0,0.9473684210526315,0.05263157894736842,0.9447513812154695,biological,0.42105263157894735,False,0.42105263157894735,24,"n_nymphs(npmi=+0.46, n=7) | has_water(npmi=+0.44, n=7) | has_human_figure(npmi=+0.32, n=7)",[body] biological/recipes | n_nymphs+has_water
olky,19,13,4,o,y,0.05263157894736842,0.8421052631578947,0.05263157894736842,0.9447513812154695,biological,0.5789473684210527,False,0.5789473684210527,19,"n_pools(npmi=+0.50, n=6) | n_nymphs(npmi=+0.47, n=6) | has_water(npmi=+0.46, n=6)",[body] recipes/biological | has_moon_face+has_central_object
dary,18,18,4,d,y,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.4363636363636364,herbal,0.3333333333333333,False,0.3333333333333333,10,"has_T_O_diagram(npmi=+0.47, n=1) | n_petals(npmi=+0.47, n=1) | n_stars(npmi=+0.19, n=5)",[body] herbal/recipes | has_central_object+spiral_turns
chocthy,18,16,7,c,y,0.0,0.9444444444444444,0.6666666666666666,0.3214285714285714,herbal,0.6666666666666666,False,0.6666666666666666,17,"n_decorative_motifs(npmi=+0.19, n=4) | has_marginal_annotation(npmi=+0.29, n=1) | n_paragraphs(npmi=+0.12, n=3)",[body] herbal | has_central_object+spiral_turns
otchor,18,16,6,o,r,0.0,0.9444444444444444,0.8888888888888888,0.052941176470588235,herbal,0.8333333333333334,False,0.8333333333333334,17,"n_leaves_visible(npmi=+0.37, n=2) | n_visual_text_columns(npmi=+0.33, n=2) | n_flowers_visible(npmi=+0.23, n=1)",[body] herbal | has_central_object+spiral_turns
cham,18,16,4,c,m,0.0,0.9444444444444444,0.5555555555555556,0.32335329341317365,herbal,0.5555555555555556,False,0.5555555555555556,28,"branching_depth(npmi=+0.41, n=2) | n_rays_or_petals(npmi=+0.41, n=2) | n_leaves_visible(npmi=+0.37, n=2)",[body] herbal/recipes | has_moon_face+n_petals
chky,18,16,4,c,y,0.1111111111111111,0.8888888888888888,0.16666666666666666,0.7155963302752293,herbal,0.5555555555555556,False,0.5555555555555556,14,"has_moon_face(npmi=+0.49, n=1) | n_stars(npmi=+0.15, n=4) | has_marginal_annotation(npmi=+0.29, n=1)",[body] herbal/recipes | has_moon_face+n_decorative_motifs
ydaiin,18,17,6,y,n,0.0,1.0,0.6111111111111112,0.26865671641791045,herbal,0.5555555555555556,False,0.5555555555555556,2,"has_marginal_annotation(npmi=+0.27, n=1) | n_containers(npmi=+0.15, n=2) | n_paragraphs(npmi=+0.11, n=3)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
qotchey,18,15,7,q,y,0.0,0.9444444444444444,0.4444444444444444,0.5421686746987953,herbal,0.5,False,0.5,2,"n_paragraphs(npmi=+0.22, n=4) | n_decorative_motifs(npmi=+0.21, n=4) | n_stars(npmi=+0.16, n=4)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
keody,18,16,5,k,y,0.0,0.8333333333333334,0.16666666666666666,0.6605504587155963,herbal,0.3888888888888889,False,0.3888888888888889,28,"n_rays_or_petals(npmi=+0.41, n=2) | fragments_are_whole_plants(npmi=+0.36, n=1) | n_rays(npmi=+0.36, n=1)",[body] herbal/recipes | has_moon_face+n_petals
ytal,18,16,4,y,l,0.1111111111111111,0.7777777777777778,0.5,0.32432432432432434,herbal,0.3888888888888889,False,0.3888888888888889,14,"has_star_motif(npmi=+0.36, n=1) | n_rays_or_petals(npmi=+0.23, n=1) | n_stars(npmi=+0.07, n=3)",[body] herbal/recipes | has_moon_face+n_decorative_motifs
qockhy,18,17,6,q,y,0.0,1.0,0.7777777777777778,0.15976331360946744,herbal,0.3333333333333333,False,0.3333333333333333,2,"n_plant_fragments(npmi=+0.37, n=5) | n_stars(npmi=+0.20, n=5) | n_labels(npmi=+0.16, n=6)",[body] herbal/pharmaceutical | has_moon_face+fragments_are_whole_plants
qokeed,18,14,6,q,d,0.0,1.0,0.05555555555555555,0.9415384615384614,recipes,0.5,False,0.5,7,"n_paragraphs(npmi=+0.43, n=7) | n_decorative_motifs(npmi=+0.42, n=7) | n_stars(npmi=+0.37, n=7)",[body] recipes/biological | n_nymphs+n_pools
qotchedy,18,10,8,q,y,0.0,1.0,0.0,1.0,recipes,0.7777777777777778,False,0.7777777777777778,11,"n_paragraphs(npmi=+0.47, n=6) | n_decorative_motifs(npmi=+0.46, n=6) | n_stars(npmi=+0.41, n=6)",[body] herbal/recipes | n_petals+n_paragraphs
{ch'}eedy,18,17,9,{,y,0.0,0.8333333333333334,0.0,1.0,biological,0.6111111111111112,False,0.6111111111111112,5,"n_nymphs(npmi=+0.62, n=10) | has_water(npmi=+0.61, n=10) | n_pipes(npmi=+0.59, n=8)",[body] biological/recipes | n_nymphs+n_pools
okeor,18,14,5,o,r,0.0,0.8333333333333334,0.7222222222222222,0.10682492581602375,herbal,0.3333333333333333,False,0.3333333333333333,8,"n_plant_fragments(npmi=+0.35, n=4) | n_labels(npmi=+0.22, n=6) | n_containers(npmi=+0.30, n=3)",[body] herbal/recipes | spiral_turns+has_spiral
rol,17,13,3,r,l,0.0,1.0,0.058823529411764705,0.9379310344827586,biological,0.5882352941176471,False,0.5882352941176471,7,"n_pools(npmi=+0.50, n=6) | n_nymphs(npmi=+0.47, n=6) | has_water(npmi=+0.46, n=6)",[body] recipes/biological | n_nymphs+n_pools
chokchy,17,14,7,c,y,0.0,0.7647058823529411,0.8235294117647058,0.11221122112211221,herbal,0.8235294117647058,False,0.8235294117647058,4,"has_moon_face(npmi=+0.51, n=1) | n_stars(npmi=+0.10, n=3) | n_paragraphs(npmi=+0.05, n=2)",[body] herbal | has_moon_face+has_star_motif
cthar,17,14,5,c,r,0.0,1.0,0.8235294117647058,0.1683168316831683,herbal,0.7058823529411765,False,0.7058823529411765,13,"has_marginal_annotation(npmi=+0.31, n=1) | n_visual_text_columns(npmi=+0.18, n=1) | n_decorative_motifs(npmi=+0.05, n=2)",[body] herbal | has_moon_face+n_petals
chs,17,15,3,c,s,0.0,0.8823529411764706,0.5882352941176471,0.2842809364548495,herbal,0.47058823529411764,False,0.47058823529411764,29,"has_container(npmi=+0.26, n=3) | has_star_motif(npmi=+0.37, n=1) | n_human_figures(npmi=+0.19, n=2)",[body] herbal/recipes | has_central_object+has_T_O_diagram
